time_min,episode,avg_reward,avg_portfolio,avg_return_pct,macro_updates,micro_updates
0.336129101117452,1,-4.204421164772717,9862.877944602269,-1.3712205539773095,1,1
1.0228604833285013,3,-4.64300899621211,9860.17338387784,-1.3982661612215996,1,3
1.3807056506474813,4,-4.800602805397716,9852.803955522017,-1.4719604447798338,1,4
1.7552921454111734,5,-4.859987215909079,9852.840477911932,-1.471595220880681,1,5
2.161887264251709,6,-4.902836766098473,9852.228862393466,-1.4777113760653446,1,6
2.6823800643285116,7,-4.882835328733755,9855.81632416802,-1.441836758319805,1,7
3.0869452158610025,8,-4.898883611505671,9854.286890491832,-1.457131095081677,1,8
3.7078936139742535,10,-4.843677911931807,9857.103504651988,-1.4289649534801174,1,10
4.163759315013886,11,-4.829028279958666,9855.519640076189,-1.4448035992381119,1,11
4.546455868085226,12,-4.857340494791655,9848.925735351562,-1.5107426464843774,2,12
5.2418554822603864,14,-4.738262226055184,9851.138706346388,-1.4886129365361194,2,14
5.894137330849966,16,-4.656981312144876,9850.060896107067,-1.4993910389293341,2,16
6.554228413105011,18,-4.584099786931808,9850.016391157671,-1.4998360884232897,2,18
7.1643146475156145,20,-4.507243252840899,9850.635263458807,-1.4936473654119253,2,20
7.751130882898966,22,-4.451701526988627,9848.450713689632,-1.515492863103682,2,22
8.385102967421213,24,-4.327798117897718,9848.270780166904,-1.5172921983309606,3,24
8.998202947775523,26,-4.1873236860795355,9847.625687269174,-1.523743127308262,3,26
9.617274729410807,28,-4.058839311079536,9846.675076331676,-1.533249236683241,3,28
10.254205516974132,30,-3.974328302556809,9843.340878355822,-1.566591216441775,3,30
10.862781564394632,32,-3.8303789062499916,9847.856298046874,-1.5214370195312585,3,32
11.459602948029836,34,-3.7616411576704456,9847.044521857246,-1.5295547814275414,4,34
12.090075532595316,36,-3.6685010653409003,9848.54566480824,-1.5145433519176004,4,36
12.688578514258067,38,-3.5767697088068098,9848.655054598723,-1.5134494540127708,4,38
13.31364909807841,40,-3.4467160866477187,9853.201320543323,-1.4679867945667684,4,40
13.924518462022146,42,-3.3892997159090834,9850.761309161931,-1.4923869083806858,4,42
14.545719265937805,44,-3.2832787642045367,9853.18370678267,-1.468162932173309,4,44
14.888424531618755,45,-3.2480896661931737,9853.17989312855,-1.4682010687144975,5,45
15.282018701235453,46,-3.2277705965909016,9851.493034090909,-1.4850696590909138,5,46
15.716279613971711,47,-3.1921033380681743,9851.94340003551,-1.4805659996448959,5,47
16.15471549828847,48,-3.1792088068181745,9850.02341143466,-1.4997658856533962,5,48
16.577917913595837,49,-3.113542080965902,9853.205080983666,-1.4679491901633446,5,49
16.9817085146904,50,-3.0652038352272655,9855.282280823863,-1.447177191761366,5,50
17.409440497557323,51,-3.0381177201704466,9855.227310990766,-1.4477268900923446,5,51
17.82766865094503,52,-2.9951493252840837,9856.670433185369,-1.4332956681463112,5,52
18.257089467843375,53,-2.9447729048295384,9858.71511940696,-1.4128488059304072,5,53
18.662532484531404,54,-2.8743718039772657,9863.339237109376,-1.3666076289062403,5,54
19.047337679068246,55,-2.8409387428977206,9864.313386274858,-1.356866137251418,5,55
19.425068763891854,56,-2.8208180042613575,9864.634229882813,-1.3536577011718691,6,56
19.84214976231257,57,-2.8023329190340847,9864.62138762429,-1.3537861237571087,6,57
20.222337182362875,58,-2.7929511718749938,9863.62192643821,-1.3637807356178928,6,58
20.601517164707182,59,-2.7741170099431756,9863.466861487925,-1.3653313851207531,6,59
20.991865468025207,60,-2.75118004261363,9863.07458725142,-1.3692541274858012,6,60
21.34833116531372,61,-2.680346235795448,9867.626139098013,-1.3237386090198744,6,61
21.6943523645401,62,-2.670731711647721,9866.638580060371,-1.3336141993962884,6,62
22.340043048063915,64,-2.5540658735795394,9875.092156374289,-1.249078436257114,6,64
23.001743380228678,66,-2.48924058948863,9879.007129527698,-1.2099287047230245,6,66
23.64859291712443,68,-2.423041903409085,9883.853964630682,-1.1614603536931827,7,68
24.29324096441269,70,-2.4283014914772663,9882.00485678267,-1.1799514321732931,7,70
24.933432348569234,72,-2.4295415482954485,9881.840106924714,-1.1815989307528616,7,72
25.580159080028533,74,-2.4868906249999947,9877.663925071021,-1.2233607492897864,7,74
26.209830033779145,76,-2.523638849431812,9875.427704723012,-1.2457229527698837,7,76
26.836473580201467,78,-2.5073288352272667,9879.38656150568,-1.2061343849431978,8,78
27.470452495416005,80,-2.6461633522727213,9869.142909161928,-1.308570908380716,8,80
28.077644232908884,82,-2.699141867897721,9867.290094087355,-1.327099059126449,8,82
28.422350450356802,83,-2.752352805397721,9864.14487597656,-1.358551240234392,8,83
28.803527363141377,84,-2.844991122159084,9856.72937631392,-1.432706236860795,8,84
29.23938777844111,85,-2.869773970170448,9856.160751615764,-1.4383924838423627,8,85
29.699506398042043,86,-2.904075639204539,9854.609410333807,-1.4539058966619267,8,86
30.10999468167623,87,-2.908578835227266,9856.166622869318,-1.438333771306825,8,87
30.537438913186392,88,-2.980418856534084,9850.554147922585,-1.4944585207741512,8,88
30.970518696308137,89,-2.9871695667613567,9850.999086061789,-1.4900091393821095,9,89
31.472732694943748,90,-2.9933094815340837,9850.876126757812,-1.4912387324218799,9,90
31.982186166445413,91,-2.9490605468749935,9855.74387487571,-1.442561251242896,9,91
32.460924649238585,92,-3.012786044034084,9849.300502254971,-1.5069949774502858,9,92
32.918220512072246,93,-3.021797940340902,9848.347993359375,-1.5165200664062468,9,93
33.442440978686015,94,-3.0346297940340836,9846.923052539063,-1.5307694746093694,9,94
33.94175634781519,95,-3.0114145951704474,9849.103753178268,-1.5089624682173235,9,95
34.5508647163709,96,-3.0080727982954474,9849.328616867897,-1.5067138313210306,9,96
35.03554359674454,97,-3.025134943181811,9848.03733132102,-1.5196266867897976,9,97
35.739028267065684,98,-3.0380312499999933,9846.819374360794,-1.531806256392065,9,98
36.47924112876256,99,-3.0171466619318115,9848.819467436078,-1.5118053256392159,9,99
36.98278871377309,100,-2.917492009943175,9859.378908078834,-1.4062109192116623,10,100
