time_min,episode,macro_updates,micro_updates,best_macro_fitness,best_micro_fitness,avg_reward,macro_width,macro_depth,micro_width,micro_depth,phase,phase_generation
1.5894571940104166e-08,1,1,1,15914.234997290927,14664.552336886965,14664.552336886965,51,3,85,3,Iniciante,1
0.9957384308179219,2,1,2,8903.703288111337,13790.25317106816,13790.25317106816,51,3,85,3,Iniciante,2
2.0099496483802795,3,1,3,12277.319337011173,12371.435489966389,12371.435489966389,51,3,85,4,Iniciante,3
3.3141214807828265,4,1,4,19150.727920895595,11101.680381236634,11101.680381236634,51,3,85,4,Iniciante,4
4.487761477629344,5,1,5,13119.273149817014,16979.627862586534,16979.627862586534,51,3,85,4,Iniciante,5
5.388659298419952,6,1,6,9538.675458073316,11662.171441709152,11662.171441709152,51,3,85,4,Iniciante,6
6.396638345718384,7,1,7,14224.35231305068,14836.733021493219,14836.733021493219,51,3,85,3,Iniciante,7
7.528220327695211,8,1,8,16970.477115822676,14488.264389343556,14488.264389343556,51,3,85,3,Iniciante,8
8.630453944206238,9,1,9,9095.36366026072,10069.070098302045,10069.070098302045,51,3,85,4,Iniciante,9
9.800248364607492,10,1,10,4736.848876249629,10834.423017323392,10834.423017323392,51,3,85,4,Intermediário,0
10.950621378421783,11,2,11,12667.595390718014,12075.011243062401,12075.011243062401,51,3,85,4,Intermediário,1
12.108853097756704,12,2,12,18509.476448558915,10525.840743794488,10525.840743794488,51,3,85,4,Intermediário,2
13.220642614364625,13,2,13,14209.271798687392,13354.342754950349,13354.342754950349,51,3,85,4,Intermediário,3
14.44137446085612,14,2,14,13028.087955397805,11442.40188253653,11442.40188253653,51,3,85,4,Intermediário,4
15.486053367455801,15,2,15,12798.097022636168,14185.139878063115,14185.139878063115,51,3,85,4,Intermediário,5
16.571485928694408,16,2,16,15067.502631545223,18402.589394666134,18402.589394666134,51,3,85,4,Intermediário,6
17.82459831237793,17,2,17,14128.340735550708,14800.828617158544,14800.828617158544,51,3,85,4,Intermediário,7
19.051954515775044,18,2,18,15142.990698777303,12084.464709371314,12084.464709371314,51,3,85,4,Intermediário,8
20.291959647337595,19,2,19,8917.066751259339,15139.587887108166,15139.587887108166,51,3,85,4,Intermediário,9
21.58023602962494,20,2,20,13210.487472960494,17824.278819527433,17824.278819527433,51,3,85,4,Intermediário,10
22.821626194318135,21,3,21,14061.829617695017,14113.48835715885,14113.48835715885,51,3,85,4,Intermediário,11
24.11939569711685,22,3,22,11088.513687811974,17206.575267777218,17206.575267777218,51,3,85,3,Intermediário,12
25.346095895767213,23,3,23,9536.988768394538,11387.674901727936,11387.674901727936,51,3,85,3,Intermediário,13
26.578146795431774,24,3,24,7831.245420253212,17567.639963876667,17567.639963876667,51,3,85,3,Intermediário,14
27.800496530532836,25,3,25,15038.489039283992,18303.7460776355,18303.7460776355,51,3,85,3,Avançado,0
28.910799499352773,26,3,26,9536.988768394538,16363.739850616568,16363.739850616568,51,3,85,3,Avançado,1
30.026916948954263,27,3,27,7831.245420253212,13239.282921161064,13239.282921161064,51,3,85,4,Avançado,2
31.116328763961793,28,3,28,11942.71082498103,17501.260696953555,17501.260696953555,51,3,85,4,Avançado,3
32.25913548072179,29,3,29,22952.757449929537,22919.796530646916,22919.796530646916,51,3,85,4,Avançado,4
33.38063591321309,30,3,30,19905.65741765096,17512.83724761704,17512.83724761704,51,3,85,4,Avançado,5
34.47562174399694,31,4,31,20010.19956300219,18728.83219057477,18728.83219057477,51,4,85,4,Avançado,6
35.60731117725372,32,4,32,24922.168902695408,24330.67239652069,24330.67239652069,51,3,85,5,Avançado,7
